experiment,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state
random_easy,1000,1,agent_1,47,9,15.132745950421556,3.0090411212931194,8.0,0,0,9.917695461755418,9.917695461755418,0.0,0.0,0.0,active
random_easy,1000,2,agent_1,46,9,14.142135623730951,2.999695598985629,8.0,0,0,9.906103266906054,19.823798728661473,0.0,0.0,0.0,active
random_easy,1000,3,agent_1,45,9,13.152946437965905,2.988943325194528,8.0,0,0,9.891891857650457,29.71569058631193,0.0,0.0,0.0,active
random_easy,1000,4,agent_1,44,9,12.165525060596439,2.976443976175166,8.0,0,0,9.874213773694667,39.5899043600066,0.0,0.0,0.0,active
random_easy,1000,5,agent_1,43,9,11.180339887498949,2.961739153797315,8.0,0,0,9.851851730974897,49.4417560909815,0.0,0.0,0.0,active
random_easy,1000,6,agent_1,42,9,10.198039027185569,2.9441970937399127,8.0,0,0,9.8230086031338,59.2647646941153,0.0,0.0,0.0,active
random_easy,1000,7,agent_1,41,9,9.219544457292887,2.922923707715851,8.0,0,0,9.784945698926819,69.04971039304212,0.0,0.0,0.0,active
random_easy,1000,8,agent_1,40,9,8.246211251235321,2.896613990462929,8.0,0,0,9.733332060575659,78.78304245361778,0.0,0.0,0.0,active
random_easy,1000,9,agent_1,39,9,7.280109889280518,2.8632929945846817,8.0,0,0,9.661013619548031,88.44405607316581,0.0,0.0,0.0,active
random_easy,1000,10,agent_1,38,9,6.324555320336759,2.819842099193151,8.0,0,0,9.55554568943759,97.9996017626034,0.0,0.0,0.0,active
random_easy,1000,11,agent_1,37,9,5.385164807134504,2.761086276477428,8.0,0,0,9.393905132022553,107.39350689462596,0.0,0.0,0.0,active
random_easy,1000,12,agent_1,36,9,4.47213595499958,2.677945044588987,8.0,0,0,9.130288521349241,116.5237954159752,0.0,0.0,0.0,active
random_easy,1000,13,agent_1,35,10,3.1622776601683795,2.819842099193151,9.0,0,0,13.098582948312,129.62237836428721,0.0,0.0,0.0,active
random_easy,1000,14,agent_1,34,10,2.23606797749979,2.677945044588987,9.0,0,0,9.262096826685898,138.88447519097312,0.0,0.0,0.0,active
random_easy,1000,15,agent_1,33,11,1.0,3.141592653589793,10.0,0,0,12.360679774997898,151.245154965971,0.0,0.0,0.0,active
random_easy,1000,16,agent_1,32,11,0.0,0.0,10.0,0,0,210.0,361.245154965971,0.0,0.0,0.0,terminated
random_hard,100,1,agent_1,59,37,1.0,1.5707963267948966,1.7897617842720055,0,0,8.889157087397013,10.0,0.0,-1.1108429126029864,0.0,active
random_hard,100,2,agent_1,59,38,0.0,0.0,0.20397534664510064,0,0,207.54528092079315,220.0,0.0,-3.565561991809839,0.0,active
random_hard,100,3,agent_1,59,38,45.0,3.141592653589793,0.7897617842720055,0,0,-1.831470338415027,220.0,0.0,-5.3970323302248655,0.0,active
random_hard,100,4,agent_1,58,37,44.01136216933077,3.118869292748152,0.7897617842720055,0,0,8.054907968277238,229.88637830669228,0.0,-7.2285026686398925,0.0,active
random_hard,100,5,agent_1,57,36,43.04648650006177,3.09511452223879,0.7897617842720055,0,0,7.81728635427503,239.53513499938234,0.0,-9.05997300705492,0.0,active
random_hard,100,6,agent_1,56,35,42.1070065428546,3.070285188804503,0.7897617842720055,0,0,7.563329233656663,248.92993457145403,0.0,-10.891443345469947,0.0,active
random_hard,100,7,agent_1,55,34,41.19465984809196,3.0443394553382275,-0.2102382157279945,0,0,-93.89611715597482,258.0534015190804,0.0,-13.911027449071163,-100.0,truncated
warehouse_easy,500,1,agent_1,75,22,15.231546211727817,-0.40489178628508343,3.5,0,0,13.21399145519031,13.21399145519031,0.0,0.0,0.0,active
warehouse_easy,500,2,agent_1,76,22,14.317821063276353,-0.43240777557053783,3.5,0,0,9.137251484514639,22.35124293970495,0.0,0.0,0.0,active
warehouse_easy,500,3,agent_1,77,21,13.0,-0.39479111969976144,2.5,0,0,13.178210632763534,35.52945357246848,0.0,0.0,0.0,active
warehouse_easy,500,4,agent_1,78,21,12.083045973594572,-0.4266274931268761,2.662277660168384,0,0,9.169540264054277,44.69899383652276,0.0,0.0,0.0,active
warehouse_easy,500,5,agent_1,79,21,11.180339887498949,-0.4636476090008061,3.105551275463997,0,0,9.027060860956233,53.72605469747899,0.0,0.0,0.0,active
